n,m,p,b,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,lpoptefficiency,lpoptrevenue,lpopttime,lpoptwe1,lpoptwe2,lpwfefficiency,lpwfrevenue,lpwftime,lpwfwe1,lpwfwe2,lpg1efficiency,lpg1revenue,lpg1time,lpg1we1,lpg1we2,lpg2efficiency,lpg2revenue,lpg2time,lpg2we1,lpg2we2
2,4,1,3,0.967052576835116,4.36018199999971,7.42086925,0,0.2,0.95586341793016,8.651544,21.59719355,0.13,0.26,0.940454959015708,8.5808951,1.37639862,0.04,0.32,0.940454959015708,8.5808957,1.9002025,0.05,0.17,0.940454959015708,8.5808945,1.25002234,0.02,0.45
2,4,1,4,0.958531735431866,3.1850299999998,5.62682256,0,0.21,0.98050394509946,7.6691117,17.48690757,0.13,0.22,0.930478100567952,7.399997,1.2403855,0.04,0.33,0.930478100567952,7.3999966,1.28998954,0.05,0.25,0.930478100567952,7.3999966,1.10676482,0.03,0.48
2,5,0.25,1,0.979236677816865,1.28740000000004,3.74484098,0,0,0.948947486477856,8.0409547,19.53981704,0.08,0.13,0.938599699899211,8.0869974,1.1613719,0,0.13,0.928153175698009,7.7747815,1.07547319,0.02,0.15,0.940678286494693,8.0374244,1.29169116,0.01,0.12
2,5,0.25,2,0.994736573163564,1.08026499999994,2.93114962,0,0.01,0.990505905202481,4.9533583,9.29023697,0.03,0.05,0.990369688271789,4.9525498,0.62983917,0.02,0.06,0.982085553590945,4.8718208,1.04769999,0.04,0.04,0.977852494148091,4.8688951,0.61084599,0.04,0.09
2,5,0.25,3,0.99353498984163,0.186964999999985,1.15301433,0,0.00999999999999999,0.994037982610199,3.5936435,5.47955586,0.04,0.02,0.98757297245183,3.5697195,0.82446739,0,0.03,0.991985299296226,3.5694165,0.54485674,0.02,0.02,0.991985299296226,3.5758647,0.48166619,0.02,0.03
2,5,0.25,4,0.999555870357938,0.129129999999988,0.95966974,0,0,1,1.8098803,2.10615167,0.00999999999999999,0,0.999555870357938,1.8083637,0.20004236,0,0,0.999555870357938,1.8083637,0.19809206,0,0,0.999555870357938,1.8083637,0.20569547,0,0
2,5,0.5,1,0.949210838872897,2.64416599999979,6.05089476,0,0,0.894764127664139,13.9406987,46.21098295,0.04,0.19,0.849020342451656,13.6850379,1.94718202,0.02,0.13,0.856706747558599,13.2341948,2.30955677,0.03,0.19,0.847938159647074,13.4764196,2.48535539,0,0.29
2,5,0.5,2,0.960965509153591,2.87548999999981,7.21433784,0,0.08,0.959665079854464,10.4331258,28.17688588,0.18,0.1,0.926027928641152,10.3100967,1.43185816,0.07,0.08,0.906109937480406,9.9604332,1.50923688,0.07,0.18,0.911257294684637,9.9913332,1.40056532,0.07,0.2
2,5,0.5,3,0.954310787984072,2.11075299999987,4.78911759,0,0.00999999999999999,0.962948998171002,9.0619884,22.33391648,0.11,0.14,0.940038893672649,8.9210448,1.06296079,0.04,0.12,0.94079822977866,8.7481322,1.15737671,0.03,0.11,0.934693872347227,8.7546172,1.06767066,0.02,0.19
2,5,0.5,4,0.973972907535855,1.3372169999999,3.2933974,0,0.00999999999999999,0.98209299093283,6.6020638,13.3300092,0.09,0.06,0.966930580959027,6.5590634,0.87148885,0.02,0.07,0.958255600395488,6.4293098,0.78392443,0.04,0.07,0.957994715153751,6.4684169,1.0160124,0.05,0.11
