m,p,greedywelfare,greedyrevenue,greedyef,greedywe,greedytime,optimawelfare,optimarevenue,optimaef,optimawe,optimatime
8,1,0.972183048104633,0.931531566508055,0.0275,0.307228260535831,42.3604813,0.974616016707031,0.93202669685197,0.03,0.48167599423972,153.15513118
9,0.25,0.997445509538334,0.995744228017583,0.00444444444444444,0.0259357908441327,8.74379267,0.998696047278425,0.996994765757673,0.00555555555555556,0.0793136517825415,31.49868453
9,0.5,0.991057440606465,0.985000266298128,0.02,0.070611800435646,19.25527597,0.994546988521689,0.988489814213352,0.0222222222222222,0.156570179304786,62.6609062
9,0.75,0.985047375935616,0.968023775662533,0.0288888888888889,0.167604977240351,30.15960053,0.990236010601067,0.972212432353225,0.0344444444444444,0.325401342867752,135.61039875
9,1,0.972083571101359,0.923620739253437,0.0388888888888889,0.289126411358992,51.3084309,0.978452182389207,0.926097877109736,0.0433333333333333,0.46816270678455,251.87010471
10,0.25,0.9982992392498,0.99445489271803,0.005,0.0187161371091648,6.70395541,1,0.99615565346823,0.007,0.0840395524275611,30.95889481
10,0.5,0.997276355348543,0.981459053183601,0.015,0.0657356595041589,15.10502802,0.997660979129391,0.98184367696445,0.018,0.171020593700634,68.87858715
10,0.75,0.98565448989594,0.965773024167904,0.024,0.194560875658939,38.68994957,0.985149638318104,0.967228290491092,0.028,0.365526122555246,199.60973334
10,1,0.976906507851851,0.914304243776417,0.049,0.27617038620143,62.70299913,0.982077718652616,0.912874208838051,0.047,0.458273359545473,487.29927267
11,0.25,0.996714225648337,0.985937683926726,0.00909090909090909,0.0384509182423562,33.38986599,0.99721690825805,0.986440366536439,0.00818181818181819,0.125709919560933,162.59954505
11,0.5,0.994877699623664,0.976916679148972,0.0145454545454545,0.0760602478670768,70.68945384,0.997821588734624,0.976251945378138,0.0154545454545455,0.177382030657518,195.52945433
11,0.75,0.986308002587332,0.955556373202233,0.0290909090909091,0.204906398309657,36.51872337,0.984422192795074,0.952193426719207,0.03,0.373696524718571,862.65971809
11,1,0.950327296564975,0.901793067767446,0.0318181818181818,0.334647199296015,285.64070459,0.95549090870652,0.905566991892111,0.0354545454545455,0.529393430214281,5446.22962691
12,0.25,0.998742252067803,0.994025338181211,0.00333333333333333,0.0305509197036123,22.73976465,0.999295283219163,0.994578369332571,0.0075,0.116382237713504,106.78653124
12,0.5,0.997388907590994,0.98884260222513,0.0141666666666667,0.0860295175029237,24.20930492,0.998660314130099,0.988279525679951,0.015,0.206803669656419,101.76821002
12,0.75,0.981348033999462,0.946409475781037,0.0341666666666667,0.197885578714591,45.97963699,0.982563372674067,0.949220891301202,0.0391666666666667,0.383156480397,305.37127074
12,1,0.958275031821009,0.906755330902868,0.0508333333333333,0.313531634402942,82.25172052,0.961259663184588,0.905353870335486,0.0541666666666667,0.513382834459707,630.27503001
13,0.25,0.996399751231603,0.991556648155627,0.00461538461538461,0.0405323878315212,15.60807415,0.999015841304313,0.99020538531881,0.00846153846153846,0.109918691164554,72.31742616
13,0.5,0.984002618746389,0.971520770060351,0.0276923076923077,0.122674296388281,24.31797368,0.986125947599368,0.976387003732906,0.0292307692307692,0.25060211918968,157.00420217
13,0.75,0.977579768637664,0.945831315007177,0.0330769230769231,0.177781428115599,47.62885574,0.985006152586111,0.946253051544597,0.0346153846153846,0.350285399348227,458.41434433
13,1,0.954448533502416,0.889669788608786,0.0476923076923077,0.314427254293146,86.28413693,0.954643526297484,0.88827988209212,0.0546153846153846,0.515875153671619,816.57812353
14,0.25,0.99246845854119,0.989814209117076,0.00714285714285714,0.0620658828641464,20.60268485,0.9925206423956,0.989866392971485,0.00714285714285714,0.149343679801606,86.08809047
14,0.5,0.99324825251322,0.969109308593175,0.0214285714285714,0.102471406473294,96.5879455,0.993577924537773,0.971920019975987,0.0178571428571429,0.240776399716085,211.68884526
14,0.75,0.978344692525649,0.939403670979894,0.0378571428571429,0.180411306706912,107.33659139,0.979895472770596,0.940942398141449,0.0414285714285714,0.36557595707576,1205.48112839
14,1,0.961130883864179,0.891528243193524,0.0535714285714286,0.289404734999605,241.08617157,0.963050524980461,0.886765773257047,0.06,0.510139369790098,4748.06384853
15,0.25,0.997488779442029,0.993984038234066,0.00866666666666666,0.0406267490452236,35.50494239,0.999407347689097,0.995902606481134,0.0113333333333333,0.1368606675808,295.62466625
15,0.5,0.988279413624875,0.978185309715214,0.0226666666666667,0.110234500186915,41.08587105,0.9933856861708,0.980233797079081,0.0253333333333333,0.249816631013477,260.25628618
15,0.75,0.96993665378053,0.928406546268466,0.0326666666666667,0.251100072846772,64.80830639,0.979223160909771,0.927744779984296,0.0406666666666667,0.417844428542682,581.96399621
15,1,0.968958705498735,0.88495829156116,0.0666666666666667,0.26496492215132,92.35338504,0.969234465223421,0.886101167176254,0.068,0.46752486736737,880.51972049
16,0.25,0.991298858706758,0.979817806410661,0.003125,0.0660860390057995,20.46919432,0.994943460079903,0.982296302622135,0.005625,0.160506736780863,97.15164482
16,0.5,0.987382067171669,0.975227298319395,0.02375,0.124649715842641,38.40546812,0.996611937253188,0.977956153848978,0.0275,0.244743509787952,233.71806757
16,0.75,0.974572310723707,0.933644252516613,0.035,0.216354720864075,53.73204411,0.974696662010183,0.933315981000734,0.040625,0.401357299395009,539.07747629
16,1,0.957425279566246,0.892437941737123,0.048125,0.278754913802367,95.68064849,0.957432465233072,0.891473822815399,0.04125,0.481619864194196,919.18922381
17,0.25,0.995875809583575,0.988374792216228,0.00647058823529412,0.037191566175177,57.91808756,0.998033806879332,0.990532789511985,0.00882352941176471,0.144014168632085,158.07018307
17,0.5,0.985637402029701,0.958131780027785,0.0305882352941176,0.123140629856473,111.66782888,0.989206465349335,0.958913106659966,0.0288235294117647,0.244037634299917,590.27456428
17,0.75,0.982305637503082,0.9344570345643,0.0511764705882353,0.204771183112883,175.37586732,0.987836862942629,0.937331606912058,0.0547058823529412,0.405283994873495,2598.19316517
17,1,0.953547475293604,0.875132742097773,0.0517647058823529,0.278260921272986,61.99227768,0.953009507564247,0.871493530871604,0.0529411764705882,0.493244861437516,3761.10126843
18,0.25,0.994558946478329,0.985668604532031,0.00833333333333333,0.0753136243231639,12.93208082,0.996002859714184,0.986387465200328,0.00833333333333333,0.172082828785248,144.10074761
18,0.5,0.993086453966692,0.972447902418419,0.0366666666666667,0.0802264173525315,16.33571384,0.994854720998621,0.974527352223875,0.0344444444444444,0.226581928584211,330.54479667
18,0.75,0.981697201825653,0.938681613586588,0.0405555555555556,0.186442049711467,37.39336054,0.985690172966095,0.93737783473663,0.0511111111111111,0.383930146180547,2610.70007788
18,1,0.958405615680555,0.86668486374143,0.0588888888888889,0.245126267145256,60.03768996,0.954862139935853,0.867514731999023,0.0583333333333333,0.459477624305911,3336.05501571
19,0.25,0.991970139955921,0.983005065278467,0.00736842105263158,0.0585785365370088,12.24833442,0.99795036433094,0.985574582974467,0.0105263157894737,0.155675864392929,126.49149407
19,0.5,0.994159916817726,0.980334571404159,0.0342105263157895,0.0999923647645483,22.49355491,0.995479384431915,0.982270855138368,0.0310526315789474,0.269518184068576,774.54316084
19,0.75,0.976957540078642,0.928797529476129,0.0394736842105263,0.205151146861906,42.31731302,0.975115105877505,0.930899391393721,0.0342105263157895,0.406722294511191,2564.28261486
