n,m,p,b,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,lpoptefficiency,lpoptrevenue,lpopttime,lpoptwe1,lpoptwe2,lpwfefficiency,lpwfrevenue,lpwftime,lpwfwe1,lpwfwe2,lpg1efficiency,lpg1revenue,lpg1time,lpg1we1,lpg1we2,lpg2efficiency,lpg2revenue,lpg2time,lpg2we1,lpg2we2
2,3,1,4,1,5.8e-05,0.0850041500000001,0,0,0.86456761692567,106.5864102,8.53150981,0,0.32,0.862531964210422,106.2073374,1.58613425,0,0.98,0.862531964210422,106.2073374,1.91903628,0,0.97,0.862531964210422,106.2073374,1.52822733,0,0.73
2,4,0.25,1,0.993127814695256,9.08908999999981,6.55016888,0,0,0.968613763866602,71.2540159,6.33237633,0.01,0.13,0.966334407333927,71.33651,0.84798978,0.00999999999999999,0.09,0.962525114485221,69.8297358,1.28530501,0,0.1,0.941242998572343,68.6589206,0.7703777,0.00999999999999999,0.2
2,4,0.25,2,1,6e-06,0.08052883,0,0,0.950090846751592,71.1609673,4.02285462,0,0.26,0.9633223068955,73.0456271,0.971742709999999,0,0.15,0.956815071923432,71.7770442,0.92121324,0,0.16,0.960136648149847,71.8676902,1.5775432,0,0.24
2,4,0.25,3,1,0,0.08131294,0,0,0.962490897697383,77.7345933,5.19626157,0,0.18,0.965642355681177,78.4362826,0.91893466,0,0.14,0.958891794795614,77.4145616,1.05431193,0,0.15,0.961850422577191,77.0935091,1.47704911,0,0.25
2,4,0.25,4,1,0,0.08211181,0,0,0.957862469659206,69.9330445,3.9721533,0,0.18,0.957862469659206,69.9396876,0.96273255,0,0.16,0.957862469659206,69.8479693,0.83906572,0,0.16,0.954171091717637,69.5576208,1.73343032,0,0.23
2,4,0.5,1,0.961533252650754,18.7389619999997,12.86798789,0,0,0.91173733980056,114.9415792,15.95914605,0,0.2,0.901397113582577,116.6196631,1.72211617,0,0.14,0.909702723638371,114.5562857,1.5697648,0,0.14,0.872986653984029,112.1907801,1.58073815,0.01,0.35
2,4,0.5,2,1,9.1e-05,0.0927329499999999,0,0,0.890056393191347,113.716051,10.59232334,0,0.39,0.904634285797959,119.0848442,1.55761614,0,0.25,0.891814513459833,116.8002723,1.64540482,0,0.32,0.890964480621365,115.003274,1.6845156,0,0.52
2,4,0.5,3,1,3.7e-05,0.08645764,0,0,0.897958471288412,110.7774425,8.31989075,0,0.35,0.903495084481718,113.6689833,1.52596744,0,0.24,0.899005496087129,112.060492,1.65744732,0,0.27,0.894250595152193,108.6679458,1.54316342,0,0.52
2,4,0.5,4,1,0,0.08712015,0,0,0.910330579392401,124.0423612,6.91659338,0,0.29,0.932579479280708,129.0203083,2.29323688,0,0.11,0.916033323924911,122.9061668,1.64996563,0,0.22,0.918655042644267,124.3220272,1.6492954,0,0.43
2,4,0.75,1,0.938184129009832,29.6595530000009,18.36299751,0,0,0.85154864136217,128.8299668,27.16924704,0,0.34,0.852266173799835,131.7591906,1.88480797,0.02,0.23,0.832938590411243,125.7074782,2.44141902,0.0500000000000001,0.27,0.849289961140457,127.1505119,2.15787289,0.02,0.41
