n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2
2,20,0.5,1,160.93550000001,46.40300261,0,0,1,179.8454539,0.39619261,0,0,1,179.8454539,0.02709248,0,0
2,20,0.75,1,173.123400000015,50.61716908,0,0,1,185.9061391,0.39477399,0,0,1,185.9061391,0.04144031,0,0
2,20,1,1,182.78290000002,60.66537225,0,0,1,191.3048302,0.38064702,0,0,1,191.3048302,0.02805161,0,0
3,2,0.25,1,1.38030000000013,0.61134266,0,0,0.994586578708772,54.257012,0.21096439,0,1.33,1,46.6090675,0.03293369,0,0
3,2,0.5,1,6.87470000000002,1.0746146,0,0,0.983611691613328,102.0111871,0.27691367,0,1.28,1,82.1912598,0.0366699,0,0
3,2,0.75,1,6.15790000000005,1.00911576,0,0,0.968585130702149,117.9746298,0.25494299,0,1.24,1,72.2629717,0.04076487,0,0
3,2,1,1,5.61200000000008,1.07055167,0,0,0.964544432125163,137.2899502,0.30528579,0,1.09,1,68.0848757,0.03773151,0,0
3,3,0.25,1,8.65590000000003,1.04444049,0,0,0.997967275894078,85.2505533,0.20936557,0,1.28,1,77.8243809,0.06110478,0,0
3,3,0.5,1,22.4799000000002,2.5663617,0,0,0.977159184231694,133.9129555,0.26556375,0,0.83,1,122.7260639,0.0621971500000001,0,0
3,3,0.75,1,28.6850000000001,3.46544706,0,0,0.968207294521299,165.353176,0.27491887,0,0.48,1,149.2479185,0.03202787,0,0
3,3,1,1,22.2206000000003,3.03928863,0,0,0.967563238640669,185.4772989,0.2669746,0,0.26,1,178.4961518,0.05615611,0,0
3,4,0.25,1,23.0458000000003,2.47261442,0,0,0.985251685795172,116.0953679,0.22792027,0,1.15,1,106.4950953,0.0633433800000001,0,0
3,4,0.5,1,56.1290999999996,4.55208844,0,0,0.986872528489921,170.1345936,0.26241775,0,0.38,1,162.9715432,0.0649337800000001,0,0
3,4,0.75,1,101.2742,7.99492861,0,0,0.988398672798593,198.273022,0.32891617,0,0.17,1,192.5077203,0.02880794,0,0
3,4,1,1,136.920400000001,10.36021886,0,0,0.988709949890706,220.0835699,0.30796169,0,0.08,1,218.7423629,0.05604173,0,0
3,5,0.25,1,30.6976000000003,4.26470988,0,0,0.99634168016001,122.6140305,0.30187311,0,0.82,1,116.200722,0.03319926,0,0
3,5,0.5,1,83.8101000000011,7.04937656,0,0,0.983358883085506,180.7458475,0.28415528,0,0.29,1,178.1594793,0.07276489,0,0
3,5,0.75,1,134.164,12.03387498,0,0,0.986689180511134,216.3404637,0.31035249,0,0.1,1,213.399706,0.05823404,0,0
3,5,1,1,177.270100000002,15.41713697,0,0,0.992951234849047,238.1300533,0.32387264,0,0.04,1,237.4826887,0.0573477399999999,0,0
3,6,0.25,1,37.8252000000004,4.23093295,0,0,0.986048446976332,143.2990351,0.28516536,0,0.72,1,138.074877,0.03166253,0,0
3,6,0.5,1,114.580500000001,11.80928302,0,0,0.992741726491269,204.6448914,0.29110851,0,0.09,1,204.151437,0.07080077,0,0
3,6,0.75,1,175.091500000001,17.66204498,0,0,0.998532421914754,232.3812204,0.31864524,0,0.00999999999999999,1,232.2927793,0.0565124299999999,0,0
3,6,1,1,195.685900000003,20.47480175,0,0,0.99429802230718,247.9873427,0.35527465,0,0.03,1,247.7720356,0.0618165300000001,0,0
3,7,0.25,1,60.1583000000004,8.8372653,0,0,0.991536978421035,155.0838656,0.32876594,0,0.59,1,151.8338953,0.03369162,0,0
3,7,0.5,1,134.685500000001,14.47116822,0,0,0.99734334798674,210.3370428,0.31520536,0,0.05,1,210.2250902,0.02973485,0,0
3,7,0.75,1,184.619100000004,21.35569787,0,0,1,243.2919408,0.33179729,0,0,1,243.2919408,0.05809869,0,0
3,7,1,1,213.837600000006,26.34361381,0,0,1,257.6601871,0.37567439,0,0,1,257.6601871,0.056965,0,0
3,8,0.25,1,64.2866000000003,8.37202711,0,0,0.99456716076347,160.9045113,0.30997181,0,0.39,1,158.101177,0.03096827,0,0
3,8,0.5,1,144.164600000002,16.37052425,0,0,0.996411929614643,222.7191335,0.34384996,0,0.06,1,221.4770567,0.03183652,0,0
3,8,0.75,1,203.917600000005,26.17979757,0,0,1,251.0076889,0.33661663,0,0,1,251.0076889,0.06583548,0,0
3,8,1,1,228.180300000009,32.50966951,0,0,1,262.409738,0.34713048,0,0,1,262.409738,0.0619136300000001,0,0
3,9,0.25,1,87.1326000000002,11.11367389,0,0,0.997203106001986,182.859633,0.34523278,0,0.27,1,181.5295662,0.03698271,0,0
3,9,0.5,1,169.000300000002,21.47567163,0,0,0.995430815625489,230.6319188,0.37813732,0,0.05,1,230.491856,0.03401713,0,0
3,9,0.75,1,207.832100000006,31.88256536,0,0,1,254.7165188,0.36391945,0,0,1,254.7165188,0.06089802,0,0
3,9,1,1,237.076700000013,38.9170345,0,0,1,268.3265427,0.38747367,0,0,1,268.3265427,0.0614791300000001,0,0
3,10,0.25,1,96.9275000000013,13.01051114,0,0,0.996398995614597,190.2792578,0.36130236,0,0.22,1,188.5930719,0.03616552,0,0
3,10,0.5,1,177.849400000003,23.90487058,0,0,0.999408247111952,238.6898611,0.38050997,0,0.02,1,238.1381785,0.03246865,0,0
3,10,0.75,1,221.561700000008,37.75441613,0,0,1,257.8831595,0.36227806,0,0,1,257.8831595,0.06069198,0,0
3,10,1,1,241.485000000014,45.83942511,0,0,1,270.8101171,0.39462029,0,0,1,270.8101171,0.05876216,0,0
3,11,0.25,1,114.696400000001,15.72959958,0,0,0.99543373265973,205.8624425,0.36386903,0,0.16,1,203.9581961,0.03766302,0,0
3,11,0.5,0.999999974798501,196.867600000005,29.14690101,0,0,0.998817866970186,246.4822639,0.37867649,0,0.02,1,246.4079129,0.06515098,0,0
3,11,0.75,1,226.57270000001,39.93175999,0,0,1,261.6138173,0.39107283,0,0,1,261.6138173,0.0627118699999999,0,0
3,11,1,1,247.186400000016,51.24749702,0,0,1,273.1269066,0.40826183,0,0,1,273.1269066,0.0623431300000001,0,0
3,12,0.25,1,120.183900000001,17.00457453,0,0,0.996644337181782,205.3312898,0.34198077,0,0.12,1,204.3830335,0.03522899,0,0
3,12,0.5,1,195.002700000004,30.53836533,0,0,1,248.2925479,0.39063128,0,0,1,248.2925479,0.06284884,0,0
3,12,0.75,1,238.549600000014,47.9084685,0,0,1,267.5457064,0.42190014,0,0,1,267.5457064,0.0605802600000001,0,0
3,12,1,1,250.335000000018,55.0482176,0,0,1,276.3056396,0.38464919,0,0,1,276.3056396,0.0646873000000001,0,0
3,13,0.25,1,131.595800000002,19.47349204,0,0,0.998403105273369,214.0930776,0.36555459,0,0.1,1,213.512063,0.0333033,0,0
3,13,0.5,1,207.975700000006,36.27464784,0,0,1,255.7852881,0.38580568,0,0,1,255.7852881,0.06670027,0,0
3,13,0.75,1,238.841800000014,52.06871813,0,0,1,268.7392571,0.39868453,0,0,1,268.7392571,0.06317225,0,0
3,13,1,0.999999967315391,256.820800000021,62.84078126,0,0,1,277.9886948,0.43537339,0,0,1,277.9886948,0.06318402,0,0
3,14,0.25,1,145.582400000002,22.99245171,0,0,0.998833028717936,223.4866571,0.35711148,0,0.05,1,223.1000818,0.06470746,0,0
3,14,0.5,1,215.333600000008,39.65998089,0,0,1,257.0205188,0.40972096,0,0,1,257.0205188,0.06335169,0,0
3,14,0.75,1,240.777400000015,63.58806564,0,0,1,269.4262147,0.43260252,0,0,1,269.4262147,0.06951773,0,0
3,14,1,1,258.541400000022,70.72770495,0,0,1,278.8934634,0.40573832,0,0,1,278.8934634,0.07143154,0,0
3,15,0.25,1,158.253500000002,25.38062016,0,0,0.997967117943146,224.8385381,0.40043149,0,0.09,1,223.8123243,0.03074897,0,0
3,15,0.5,1,223.128000000009,55.61636773,0,0,0.999356263812183,261.15726,0.43811832,0,0.00999999999999999,1,261.0436533,0.0693096,0,0
3,15,0.75,1,246.927400000017,65.37342572,0,0,1,273.4884627,0.43080741,0,0,1,273.4884627,0.0682457800000001,0,0
