n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2,lpefficiency,lprevenue,lptime,lpwe1,lpwe2
2,12,0.75,1,146.786400000004,21.91959609,0,0,1,167.3370422,0.20376916,0,0,1,167.3370422,0.02214738,0,0,1,167.3370422,5.68460159,0,0
2,12,1,1,155.138400000007,23.23616829,0,0,1,169.4180912,0.19918286,0,0,1,169.4180912,0.02109974,0,0,1,169.4180912,5.97765401,0,0
2,13,0.25,1,87.5615000000012,10.47113741,0,0,0.994401000781594,137.3086525,0.20811562,0,0.07,1,137.0888211,0.02208461,0,0,0.994401000781594,137.3086525,5.5993005,0,0.07
2,13,0.5,1,135.889300000004,19.42076099,0,0,1,165.9842054,0.198964,0,0,1,165.9842054,0.02550675,0,0,1,165.9842054,5.42252669,0,0
2,13,0.75,1,152.132600000006,23.90993554,0,0,1,172.8186051,0.20446362,0,0,1,172.8186051,0.02224893,0,0,1,172.8186051,5.74421892,0,0
2,13,1,1,156.135900000007,25.91333067,0,0,1,169.369614,0.20614662,0,0,1,169.369614,0.02225951,0,0,1,169.369614,5.81972469,0,0
2,14,0.25,1,94.7857000000008,11.84911809,0,0,1,141.9677937,0.2059712,0,0.04,1,141.9677937,0.02253155,0,0,1,141.9677937,5.76026689,0,0.04
2,14,0.5,1,141.755700000004,21.16299203,0,0,1,168.1307949,0.20303233,0,0.00999999999999999,1,168.1307949,0.02223201,0,0,1,168.1307949,5.75091105,0,0.00999999999999999
2,14,0.75,1,154.693000000007,24.96131529,0,0,1,172.6068043,0.20995095,0,0,1,172.6068043,0.02602163,0,0,1,172.6068043,5.71821848,0,0
2,14,1,1,162.28230000001,28.27591757,0,0,1,173.3172702,0.20696211,0,0,1,173.3172702,0.02165033,0,0,1,173.3172702,5.72689347,0,0
2,15,0.25,1,101.072000000001,13.14418311,0,0,0.99800392940743,147.5112736,0.18342105,0,0.04,1,147.0238455,0.0229324,0,0,0.99800392940743,147.5112736,5.43844704,0,0.04
2,15,0.5,1,150.948900000006,23.7470721,0,0,1,173.1154902,0.21257623,0,0,1,173.1154902,0.02349161,0,0,1,173.1154902,5.80347125,0,0
2,15,0.75,1,158.229900000008,27.24327309,0,0,1,173.996482,0.21127415,0,0,1,173.996482,0.02169426,0,0,1,173.996482,5.81795764000001,0,0
2,15,1,1,165.183100000011,29.26789228,0,0,1,175.545153,0.20895583,0,0,1,175.545153,0.02233024,0,0,1,175.545153,5.82375809,0,0
2,16,0.25,1,109.120000000002,14.56342147,0,0,1,151.7141133,0.2011329,0,0.00999999999999999,1,151.7141133,0.02268355,0,0,1,151.7141133,5.48279169,0,0.00999999999999999
2,16,0.5,1,153.908800000007,25.90655003,0,0,1,175.2695415,0.20728169,0,0,1,175.2695415,0.02231496,0,0,1,175.2695415,5.51495859,0,0
2,16,0.75,1,161.31850000001,29.66297888,0,0,1,176.5965383,0.21038898,0,0,1,176.5965383,0.02201992,0,0,1,176.5965383,5.71573056,0,0
2,16,1,1,161.561900000009,30.28211582,0,0,1,174.4042804,0.20590924,0,0,1,174.4042804,0.02250837,0,0,1,174.4042804,5.56375747,0,0
2,17,0.25,1,113.947600000001,16.54934554,0,0,1,152.1691865,0.19719459,0,0.01,1,152.1691865,0.02316926,0,0,1,152.1691865,5.74258796,0,0.01
