m,sprevenue,gwrevenue,gerevenue,owrevenue,oerevenue
66,0.9396001348787687,0.989654157646340016,0.946728684285913835,0.998709264765759164,0.980661477621825095
67,0.946507419863414245,0.989071617391025226,0.95974954107064081,0.998717502079131236,0.982711371000913103
68,0.948368237898085553,0.987338084714526887,0.960563955194165597,0.998694338306786777,0.977278692174816555
69,0.949520286651113765,0.989083866798518341,0.958280361082228915,0.998747651361665545,0.976399158115565546
70,0.946560939932577505,0.989999728721898675,0.950522897146878321,0.99862320132127369,0.984880555224461607
71,0.947986077392557691,0.989405279736030985,0.950569165242414416,0.998705916707791408,0.976509599714752818
72,0.947486106889338764,0.9883630322571475,0.950382607459780315,0.998648153627609947,0.980907890029257601
73,0.948205798958903556,0.98853886684365222,0.956581792013125209,0.998681263522221641,0.984966756330219795
74,0.947760291001981559,0.988381976602509371,0.949447248804238697,0.998636961065070827,0.979576480913439629
75,0.946758840171691984,0.99279908557136809,0.956838529037108865,0.998615234862251122,0.981853306674699944
76,0.945106817999929127,0.987506275224828256,0.952235948831428369,0.998645809798736628,0.98161165859673849
77,0.949729968053119378,0.989117894079916016,0.961201615521690589,0.99857298223159352,0.982476863607695927
78,0.946113170463717346,0.98835461800174873,0.956043505741844934,0.998620099879338752,0.984708677042780645
79,0.942840404917335673,0.986200473513546783,0.967425591690834197,0.998608431932369367,0.980415751383719947
80,0.952207442029573747,0.988863012373400463,0.966033348485876298,0.998634048800723373,0.979859808757935213
81,0.950720325563772617,0.990675112843925842,0.952797044498267187,0.998555370190364333,0.984106885784994168
82,0.951682836777596797,0.989619441043154247,0.961784126409908624,0.998533235815795228,0.98357536391157474
83,0.960341853346667551,0.990128656571911736,0.962738257887536086,0.998519886980633875,0.981425817421083146
84,0.948601041592314731,0.991980327309837318,0.961304846506739863,0.998621300160231207,0.987014640584663816
85,0.946821777801059583,0.988695406908666863,0.960145765521292049,0.998530148070555734,0.984834927156387208
86,0.941694216417384489,0.990880295015580947,0.951014163516912259,0.998485079895564676,0.983882642036801869
87,0.953514217082262028,0.990459296747702944,0.968177159027689416,0.998570212239191735,0.984242374441720136
88,0.955220551245499427,0.988528206239737139,0.966024836097065798,0.998551069872413821,0.983731074438557562
89,0.955102662789498846,0.987907666857131161,0.965304175065425651,0.998442292306306878,0.983436826640201711
90,0.953011757960492534,0.989512033467553342,0.967944428245048005,0.998494386082634855,0.985912261123256473
91,0.955563399439944172,0.988148076596690905,0.96598728694634528,0.99853942187193856,0.987656481464919356
92,0.949662630997102131,0.990827081013183397,0.966533773334755097,0.998511153465532431,0.986775075843791094
93,0.948619547688560161,0.991435950735823357,0.96853152432972256,0.99844780002071154,0.98414824815291313
94,0.951915093089959474,0.990303646861780296,0.970158728417208183,0.998451302355120807,0.984946084838901004
95,0.953001995614409014,0.989550335989763497,0.963724702316605009,0.998437295266497826,0.987766215192475872
96,0.950589029632084803,0.989777556641340595,0.966559394050735432,0.998462750739910088,0.985224966390201073
97,0.959472765717689247,0.988533215138607146,0.967328025751028608,0.998391477984499676,0.989546724625432583
98,0.947973646413021731,0.991154537345317665,0.968812763875881,0.99842178461276665,0.985758492294076638
99,0.951620238278046982,0.99025047324673432,0.968031072511782664,0.998460873768732937,0.986477718667561287
100,0.959801834188976799,0.98947100521840714,0.97167907650416252,0.998365620154805011,0.986462910356471046
