m,spefloss,gwefloss,geefloss,owefloss,oeefloss
42,0.000302200019539035022,0.000953416737772334768,0.000312875581541601877,0.000509370414467379563,0.000285791510531981682
43,0.000243320556844104459,0.00086870675988997149,0.000355228264222929961,0.000381055624299307498,0.00022832975185812959
44,0.000250357410468878276,0.000954391100590066513,0.00030563083405538903,0.000266711129811888169,0.000229776338213865799
45,0.000234685181960119383,0.000991078467821044327,0.00029109633403550018,0.000396402305110483445,0.000235350621779856526
46,0.000251723438617124746,0.00102277194788297308,0.000447209344681705277,0.000367136520931464093,0.000212040061987230679
47,0.000235553647129911533,0.000822052959399996929,0.000373031329890573802,0.000212402731115379382,0.000205817075495546973
48,0.000296066211297578495,0.00106148766295190611,0.000318866813939926153,0.000297922354398176602,0.00026834847143002139
49,0.000244863101249340187,0.000942208871224570503,0.000405504523224216611,0.000297051807047914553,0.000290015037575338966
50,0.000261006396824922085,0.000900983575256482697,0.000384616121807596295,0.000367437426375654536,0.000282254394648904605
51,0.000261175698374366738,0.000817088323160655131,0.000306820659562077284,0.00035361900471016309,0.000320348905704321576
52,0.000267183726122334942,0.000886902128074128411,0.000329034578773908649,0.000375181530709800309,0.0002681650423556291
53,0.000293900416239424101,0.000884958610519898342,0.000337319499278624616,0.000461533462252023525,0.000265320649342551016
54,0.000265798558658494389,0.000955892726208203885,0.000318930339765587448,0.000308232858906812941,0.000352810148826551619
55,0.000264592118785630004,0.00091410426486171416,0.000332698240675996201,0.000315446241099548138,0.000352428157003421448
56,0.000308963113523900773,0.000825148590179944352,0.000340075102498810504,0.000332296643074169969,0.000296944274791430436
57,0.000270590957728808772,0.000856256582575516375,0.000332463802298755228,0.000308065320435757463,0.000272994947796462444
58,0.000276531818450530709,0.000831570275323725416,0.000326998024315970843,0.000311260166326742579,0.000342815632269024683
59,0.000407811341781216233,0.000852061159135435501,0.000352866952073416598,0.000511107716347483946,0.00033742565682263006
60,0.00027749104964379346,0.000872238151529629454,0.00032452361730995105,0.000269509210333049613,0.00028458315876435039
61,0.000314485572872976306,0.00090055011551651938,0.000347156875619416866,0.00062044738636421817,0.000349524571905588353
62,0.000272067902581073055,0.000835375112913572227,0.000303882590213006346,0.000437117348604377294,0.000276513635135056134
63,0.00030424434904015497,0.000906763711407108995,0.000346856956220620847,0.000345820945761875274,0.0003051651942591058
64,0.000349220831846764126,0.000795858409975677521,0.000394419552585954065,0.000417806633732103203,0.000301970695574306741
65,0.000300457208583449354,0.000796391332725465044,0.000356276847040157513,0.000408657722576696598,0.00028306550671383879
66,0.000330010977097918736,0.00088666485772007943,0.000344979067780793597,0.000428084662274550755,0.000294408365957341542
67,0.000286647583161203038,0.00084416291746884425,0.000342951350998177819,0.000412866888396589814,0.000312281580039928443
68,0.000298506648479657699,0.000868601657144474023,0.000372797659688111173,0.000374912201755499058,0.000275141245681235732
69,0.000276372923336352353,0.000789475403928331307,0.000384534207076714948,0.000470947566076378036,0.000324761379440498244
70,0.000342012734545973571,0.000858438032940053025,0.000374368337655856486,0.000415840097738567568,0.000344639649175061354
71,0.000301052480723633647,0.000826349391921559753,0.000375891935142272696,0.000409367482820385234,0.000302746045197875503
