m,spwelfare,gwwelfare,gewelfare,owwelfare,oewelfare
80,0.953666704958687661,0.988994815996289911,0.96737297235383346,0.999992679079212299,0.981226711761901127
81,0.952257920881985354,0.990815737823187992,0.954222090508863863,0.999981035606513857,0.985531977395648684
82,0.953286066999011639,0.989780149346758731,0.963139592089024443,0.999992681188431098,0.98497759204366353
83,0.96195476626172316,0.990298552907158069,0.964128157271070929,0.999979371439065456,0.982846915915221886
84,0.950070885052148872,0.992186654250256872,0.962647213497300203,0.999981365477279005,0.988354204843195472
85,0.948449412986214879,0.988851369902178368,0.961640455618833045,0.999997338097732613,0.986285399357339831
86,0.943304478983098327,0.991040380105290497,0.95250036823264117,0.999987691892054054,0.985323597360388548
87,0.955076329232996457,0.990613352093565824,0.969642000607537247,0.999973711735397952,0.985665749593347185
88,0.956784370071127488,0.988705430130439877,0.967485973997994408,0.999983031757156304,0.985171783970493764
89,0.956782749812728595,0.988077758930981376,0.966781898644804905,0.999975711061477091,0.984920468295703788
90,0.95463690636578391,0.989664488342894111,0.969439637246308772,0.99999001960188838,0.987412740754035512
91,0.957222263550445707,0.988295108072821393,0.967443380707717071,0.999991683675169329,0.989121780710706777
92,0.951297806960860193,0.990950042258933128,0.968061854162417634,0.999982365783191218,0.98826528015272852
93,0.950291948213389581,0.991566289749164498,0.970057074198820035,0.999994011879700606,0.985706405114254669
94,0.953649518004052066,0.990456017067388172,0.971673423568721217,0.999994013952088978,0.986482624669539288
95,0.954716481293079955,0.989698327635257225,0.965262704457521825,0.99998735741720346,0.989317707319620543
96,0.952257404984514166,0.989942138876882538,0.968084143162803334,0.999981035592415801,0.986823905913522204
97,0.96120643354407187,0.988679989010847748,0.968846861236134393,0.999991348994557216,0.991118201042064051
98,0.949668182791146176,0.991304858598448746,0.970412768348656862,0.999997672914635038,0.987343118538813624
99,0.953317377670217292,0.99039658938796804,0.969620122912720817,0.999973385141004978,0.988064004660387574
100,0.961559700424889807,0.989617252122131585,0.973239300720949552,0.999980038561835149,0.988041142118763482
