n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2,lpefficiency,lprevenue,lptime,lpwe1,lpwe2
2,14,0.25,1,99.8398000000019,10.22153993,0,0,0.998435699826323,142.9143116,0.15154092,0,0.07,1,142.4553208,0.01800049,0,0,0.998435699826323,142.9143116,4.27465353,0,0.07
2,14,0.5,1,140.382300000004,16.376129,0,0,1,168.7621239,0.18101573,0,0,1,168.7621239,0.01890104,0,0,1,168.7621239,4.28826388,0,0
2,14,0.75,1,158.023100000008,20.15934978,0,0,1,172.4411819,0.1677356,0,0,1,172.4411819,0.01990492,0,0,1,172.4411819,4.26236817,0,0
2,14,1,1,158.869300000008,20.92200248,0,0,1,174.380485,0.16540705,0,0,1,174.380485,0.01786909,0,0,1,174.380485,4.60325889,0,0
2,15,0.25,1,97.6483000000009,10.05275533,0,0,0.99684727756587,143.6745559,0.15715617,0,0.04,1,143.603224,0.01747074,0,0,0.99684727756587,143.6745559,4.14046331,0,0.04
2,15,0.5,1,141.471000000003,17.47877005,0,0,1,167.6403097,0.16727111,0,0,1,167.6403097,0.02045625,0,0,1,167.6403097,4.62614011,0,0
2,15,0.75,1,160.117500000009,20.6031008,0,0,1,177.5530479,0.17076511,0,0,1,177.5530479,0.01653227,0,0,1,177.5530479,4.32769882,0,0
2,15,1,1,163.04900000001,24.38320135,0,0,1,175.0171176,0.16898563,0,0,1,175.0171176,0.01670984,0,0,1,175.0171176,4.98396398,0,0
2,16,0.25,1,101.205700000001,11.53198175,0,0,1,149.7322506,0.15225364,0,0.02,1,149.7322506,0.01750257,0,0,1,149.7322506,4.21140569,0,0.02
2,16,0.5,1,151.548100000006,20.61090052,0,0,1,174.7982291,0.16758509,0,0,1,174.7982291,0.01782268,0,0,1,174.7982291,4.301161,0,0
2,16,0.75,1,161.54620000001,22.22274777,0,0,1,176.1445528,0.1687625,0,0,1,176.1445528,0.01743873,0,0,1,176.1445528,4.52541886,0,0
2,16,1,1,165.376700000011,24.01912993,0,0,1,178.134098,0.16523952,0,0,1,178.134098,0.01688954,0,0,1,178.134098,4.57535952,0,0
2,17,0.25,1,113.495600000003,13.00318933,0,0,0.998083606729536,153.624699,0.18471101,0,0.03,1,153.1619467,0.0181706,0,0,0.998083606729536,153.624699,4.27367269,0,0.03
2,17,0.5,1,154.702000000008,20.89880735,0,0,1,174.4664556,0.16962077,0,0,1,174.4664556,0.01868776,0,0,1,174.4664556,4.30188592999999,0,0
2,17,0.75,1,161.065800000009,23.81590036,0,0,1,177.4549161,0.17575159,0,0,1,177.4549161,0.01894722,0,0,1,177.4549161,4.50466604,0,0
2,17,1,1,166.346400000012,27.53398619,0,0,1,178.5215962,0.17154707,0,0,1,178.5215962,0.01783448,0,0,1,178.5215962,4.32463213,0,0
2,18,0.25,1,115.903100000002,13.86733178,0,0,1,157.1835946,0.15514836,0,0,1,157.1835946,0.01860862,0,0,1,157.1835946,4.11956531,0,0
