n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2
3,2,0.5,1,0.0897863777992603,0.778685959999999,0,0,0.978834244659908,0.961094252326653,0.23790829,0,0.453333333333333,1,0.726446957436867,0.03463498,0,0
3,2,0.75,1,0.0633390393580011,0.969313540000001,0,0,0.976872234147868,0.935399199672567,0.23440304,0,0.353333333333333,1,0.616307901897419,0.02775425,0,0
3,2,1,1,0.0206912830026305,0.60110725,0,0,0.962298159517862,0.931539941438471,0.24628955,0,0.366666666666667,1,0.451228544186884,0.0377695,0,0
3,3,0.25,1,0.205483924747883,1.0866686,0,0,0.994227150618176,0.985842627724773,0.20791032,0,0.433333333333333,1,0.919957736030751,0.02707491,0,0
3,3,0.5,1,0.149907647517677,1.75040254,0,0,0.98386424009578,0.940269229250427,0.201832,0,0.233333333333333,1,0.818947651436626,0.04210931,0,0
3,3,0.75,1,0.150629674994782,2.06376509,0,0,0.965954784082261,0.924234664679201,0.22444345,0,0.143333333333333,1,0.836798859231822,0.0242914,0,0
3,3,1,1,0.127081547533431,2.20486,0,0,0.966820623194745,0.911509152943859,0.19159379,0,0.0966666666666667,1,0.859720936642854,0.03859498,0,0
3,4,0.25,1,0.207585170971332,1.91545431,0,0,0.994387800992282,0.987991786280745,0.18158572,0,0.35,1,0.92678437551713,0.04465732,0,0
3,4,0.5,1,0.318258335678704,3.67327978,0,0,0.98801716760135,0.949499083237148,0.2179034,0,0.15,1,0.892089256328975,0.02371828,0,0
3,4,0.75,1,0.395916897854354,4.79331316,0,0,0.984355429117534,0.943139734991256,0.19389711,0,0.07,1,0.912185398632605,0.04036072,0,0
3,4,1,1,0.59663363174297,6.11612393,0,0,0.992432921471306,0.953710827993191,0.20259787,0,0.0166666666666667,1,0.946889971337781,0.04012661,0,0
3,5,0.25,1,0.229776629105233,2.41004324,0,0,0.990612225053944,0.978391593001527,0.23179178,0,0.33,1,0.892349961581504,0.02720207,0,0
3,5,0.5,1,0.425058131372228,6.05831411,0,0,0.994271385793416,0.956517247509724,0.23695353,0,0.0733333333333333,1,0.925559999219737,0.02620811,0,0
3,5,0.75,1,0.641983748033786,8.07646714,0,0,0.996118016189547,0.965936036258766,0.19972113,0,0.0133333333333333,1,0.95852003505002,0.03729366,0,0
3,5,1,1,0.731359854303392,10.12811105,0,0,0.998459673724168,0.967581078993094,0.20037451,0,0.00333333333333334,1,0.967004034730161,0.03537571,0,0
3,6,0.25,1,0.303263207229414,3.4514152,0,0,0.992437875929674,0.976322455560302,0.21177981,0,0.203333333333333,1,0.933776631433737,0.0298386,0,0
3,6,0.5,1,0.506272490165103,7.65181826,0,0,0.989787815481648,0.961218157490808,0.24331362,0,0.0566666666666667,1,0.939237263608941,0.02549926,0,0
3,6,0.75,1,0.693762542829442,10.16536935,0,0,0.998636233707365,0.973311938788042,0.19615462,0,0.00666666666666667,1,0.973229573985961,0.04751868,0,0
3,6,1,1,0.784910599491534,13.48516979,0,0,1,0.985051151401557,0.22307423,0,0,1,0.985051151401557,0.04560911,0,0
3,7,0.25,1,0.334809603481821,5.38518801,0,0,0.990722723237177,0.969168509803914,0.22950225,0,0.193333333333333,1,0.937478996245907,0.02592878,0,0
3,7,0.5,1,0.582246147530453,11.66431577,0,0,0.992293908117283,0.970719060124805,0.231602,0,0.0466666666666667,1,0.95558080681437,0.0240577,0,0
3,7,0.75,1,0.736246384703068,14.58992853,0,0,0.997901790238726,0.982885323726702,0.21906264,0,0.00666666666666667,1,0.981552547239656,0.0404481199999999,0,0
3,7,1,1,0.809683816965185,17.94680941,0,0,1,0.986281921423749,0.22326482,0,0,1,0.986281921423749,0.04382423,0,0
3,8,0.25,1,0.362429145986656,5.58093993,0,0,0.991864059017143,0.970809516978271,0.22260907,0,0.14,1,0.955266891326819,0.02513452,0,0
