n,m,p,b,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,lpoptefficiency,lpoptrevenue,lpopttime,lpoptwe1,lpoptwe2,lpwfefficiency,lpwfrevenue,lpwftime,lpwfwe1,lpwfwe2,lpg1efficiency,lpg1revenue,lpg1time,lpg1we1,lpg1we2,lpg2efficiency,lpg2revenue,lpg2time,lpg2we1,lpg2we2
2,3,1,3,0.985008526230108,0.253386177918034,0.567885040000001,0,0.095,0.993989164038802,0.978875333940114,15.40745192,0.0133333333333333,0.21,0.976542648955575,0.966518889566721,1.75992269,0.00333333333333334,0.24,0.976542648955575,0.966518877200653,1.21713919,0.00666666666666667,0.15,0.976542648955575,0.966518891808496,1.11564285,0,0.295
2,3,1,4,0.99302460037725,0.286602037136692,0.42343211,0,0.025,1,0.996392318526956,13.01883715,0.00333333333333333,0.095,0.99302460037725,0.989416573459287,1.21007052,0,0.115,0.99302460037725,0.989416687835135,1.19160426,0.00333333333333334,0.06,0.99302460037725,0.989417049372119,1.0069862,0,0.155
2,4,0.25,1,0.97589494306198,0.371662724917444,0.46706456,0,0,0.982115736518281,0.913979395075395,24.71990088,0.0125,0.045,0.974762858670161,0.918966366331613,1.09004192,0.005,0.03,0.954836548433003,0.902612065184347,1.16666012,0.0025,0.05,0.967613158539287,0.909964317982057,0.9276026,0.0025,0.045
2,4,0.25,2,0.991227167179291,0.544766044461231,0.39800975,0,0,0.996953418722028,0.99077847999356,8.03288415,0.0025,0.005,0.989006485840591,0.984244042057532,0.58946744,0,0.005,0.989006485840591,0.980583537879229,0.90382097,0,0.005,0.989006485840591,0.982831531500994,0.46947956,0,0.01
2,4,0.25,3,0.994876968805007,0.704255672805002,0.23099818,0,0,0.998209307373519,0.998209592619631,3.56734566,0,0.015,0.993086276178526,0.993086374807962,0.31197291,0,0.015,0.993086276178526,0.993086374807962,0.31145328,0,0.01,0.993086276178526,0.993086374807962,0.3240871,0,0.02
2,4,0.25,4,1,0.799071385284217,0.13573435,0,0,0.996897685133899,0.996897346497506,2.59981188,0,0.005,0.996897685133899,0.99689741487916,0.19349841,0,0.00999999999999999,0.996897685133899,0.996897346497506,0.35856534,0,0.005,0.996897685133899,0.99689741487916,0.27768654,0,0.00999999999999999
2,4,0.5,1,0.92384026745915,0.167424450271152,0.50376039,0,0,0.915014427944721,0.780999816134972,58.53000285,0.0075,0.09,0.899986403799447,0.78037207255788,2.05993906,0,0.055,0.89324155045541,0.746518888547237,2.17712477,0,0.085,0.86390728347985,0.755798560447907,1.86131476,0,0.135
2,4,0.5,2,0.983431038498021,0.263988041162195,0.56198961,0,0.00999999999999999,0.973933757650075,0.945894744397869,21.7411983,0.015,0.07,0.973605872244039,0.946126508012781,1.41126786,0.0125,0.055,0.954840904580997,0.912600842075816,1.63233652,0.0175,0.065,0.959520112713761,0.935118802172807,1.25176695,0.015,0.065
2,4,0.5,3,0.979620262763035,0.339803230216596,0.38331478,0,0,0.987973330097693,0.979578988199831,16.71096841,0.02,0.055,0.982104108063482,0.96865102817663,1.24684943,0.005,0.055,0.978030527172041,0.956954677246729,0.95565698,0.005,0.035,0.973605356849665,0.965211651391113,0.83762278,0.005,0.075
2,4,0.5,4,0.997955457401928,0.426202501203537,0.3157207,0,0,0.985990021079322,0.985028685404655,9.10331037,0.0025,0.04,0.98394547848125,0.982984283536482,0.74855863,0,0.03,0.977518163767821,0.975965020957121,0.72679787,0,0.035,0.97990053786014,0.9792313274058,0.60638026,0,0.04
